Name,ALMA_1a,ALMA_1b,ALMA_1c,ALMA_1d,ALMA_2a,ALMA_2b,ALMA_2c,ALMA_2d,ALMA_3a,ALMA_3b,ALMA_3c,ALMA_3d,ALMA_4a,ALMA_4b,ALMA_4c,ALMA_4d,ALMA_5a,ALMA_5b,ALMA_5c,ALMA_5d,ALMA_6a,ALMA_6b,ALMA_6c,ALMA_6d,ALMA_8a,ALMA_8b,LB_1a,LB_1b,LB_1c,LB_1d,Lomas_Bayas_3a,Lomas_Bayas_3b,Lomas_Bayas_3c,CAB_2a,CAB_2b,CAB_2c,CAB_2d,CAB_3b,CAB_3c,Y6-2a_,Y6-2b_,Y6-2c_,Y6-2d_,Y6-30a,Y6-30b,Y6-30c,Y6-30d,Y6-100a,Y6-100b,Y6-100c,Y6-100d,Chaxa_1-2a,Chaxa_1-2b,Chaxa_1-2c,Chaxa_1-2d,Chaxa_1-30a,Chaxa_1-30b,Chaxa_1-30c,Chaxa_1-30d,Chaxa_cyano_a,Chaxa_cyano_b,Chaxa_cyano_c,Chaxa_cyano_d,LM_1a,LM_1b,LM_1c,LM_1d,LM_2a,LM_2b,LM_2c,LM_2d,POP_1d,POP_2a,POP_2b,POP_2c,POP_2d,VDL_a,VDL_b,VDL_c,VDL_d,Y2a,Y2b,Y2c,Y2d
HQ190487_g,9,9,10,10,10,1,2,11,17,2,3,1,3,2,3,1,17,2,12,10,1,7,2,6,1,2,0,7,2,15,7,3,0,30,6,13,12,0,0,13,7,3,5,5,8,13,12,43,0,24,0,23,3,11,10,3,3,9,14,7,18,26,12,2,0,2,0,0,0,1,0,0,7,10,6,1,6,6,10,9,0,1,0,0
DQ395502_g,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,26,30,17,100,80,83,144,0,0,0,1,0,0,0,0,0,1,0,0,0
FM209170_g,0,1,1,0,1,1,8,5,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,4,0,1,2,2,2,2,0,0,7,0,0,1,9,0,1,1,2,0,0,0,0,0,328,30,91,17,1,0,0,0,0,2,2,2,3,1,2,0,2,0,3,0,0
AF408985_g,2,0,4,5,1,2,1,1,10,9,43,37,41,23,31,32,14,1,2,1,4,1,0,1,15,12,1,1,2,3,0,5,7,6,0,2,2,0,0,0,2,6,4,0,0,0,1,7,5,21,0,3,7,37,8,0,8,14,22,0,5,11,5,7,1,0,0,0,0,0,0,1,0,0,11,7,0,9,4,3,0,0,0,0
Cellulomonas,5,5,1,5,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,0,1,0,1,0,0,1,2,3,5,0,2,0,8,2,3,2,2,10,0,0,4,2,0,0,0,0,13,0,8,0,5,0,7,1,0,0,1,16,0,7,12,0,12,5,2,5,55,52,45,77,2,0,0,0,2,0,3,6,4,13,63,20,17
Frigoribacterium,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,19,1,0,69,87,0,0,2,8,13,11,45,1,0,10,5,1,0,0,1,0,0,1,0,4,4,0,0,0,0,5,1,28,0,0,9,24,6,0,8,20,23,0,5,21,0,0,0,0,0,1,0,0,1,0,0,0,26,6,1,12,5,6,0,0,0,0
EU861920_g,11,28,5,8,3,0,1,3,0,1,0,1,0,0,0,0,11,7,3,10,8,1,1,0,4,0,1,2,0,4,0,1,0,61,2,16,10,0,0,0,2,2,8,0,0,0,0,46,1,14,0,20,7,27,12,1,12,5,13,0,34,17,1,0,0,0,0,0,0,0,1,19,0,0,4,8,0,6,4,5,1,1,0,1
Amycolatopsis,13,4,11,5,6,0,2,1,0,1,1,1,4,8,3,2,45,9,4,1,30,9,1,0,0,1,17,9,55,15,0,4,2,2,2,2,0,0,0,0,0,2,4,0,0,0,0,12,1,42,4,0,3,18,5,0,11,9,8,0,0,8,1,3,0,0,0,0,0,0,1,14,1,0,19,7,0,8,4,9,0,0,1,1
Demequina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,7,18,1,0,0,0,0,0,0,0,0,40,6,16,2,79,52,60,84,0,0,0,0,0,0,0,0,0,1,16,8,1
Naasia,5,15,3,5,1,3,0,1,17,11,0,1,0,0,3,2,9,3,5,4,1,1,3,2,1,5,1,1,3,7,1,6,8,22,2,11,9,0,0,1,0,6,3,0,0,0,1,25,0,13,0,18,3,10,8,0,2,3,6,0,16,30,0,0,0,0,0,0,0,0,0,30,0,0,2,0,0,7,10,7,0,0,0,0
